name,tags
Counter-Strike: Global Offensive,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable,+"
Ready or Not,"Tactical,Realistic,FPS,Multiplayer,Shooter,Co-op,Singleplayer,First-Person,Action,Horror,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access,+"
Human: Fall Flat,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation,+"
BeamNG.drive,"Simulation,Driving,Physics,Destruction,Realistic,Automobile Sim,Open World,Sandbox,Racing,Moddable,Singleplayer,Multiplayer,Early Access,First-Person,Third Person,Exploration,Funny,Action,Adventure,Flight,+"
Xenonauts 2,"Strategy,RPG,Turn-Based Strategy,Turn-Based Tactics,Turn-Based,Action,Simulation,Adventure,Sci-fi,Survival,Open World,Story Rich,Dark Fantasy,Singleplayer,City Builder,Tactical,Turn-Based Combat,War,Grand Strategy,Early Access,+"
Car For Sale Simulator 2023,"Immersive Sim,Driving,Trading,FPS,Automobile Sim,Life Sim,Simulation,3D,First-Person,Open World,Conversation,Realistic,Family Friendly,Cinematic,America,Modern,Singleplayer,Inventory Management,Early Access,Indie,+"
Euro Truck Simulator 2,"Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Family Friendly,Third Person,Adventure,Casual,Indie,+"
Hunt: Showdown,"Open World,Tactical,Atmospheric,Multiplayer,Perma Death,FPS,Shooter,PvP,Survival Horror,Horror,Difficult,Online Co-Op,Western,Co-op,Battle Royale,Team-Based,Action,Gore,Zombies,First-Person,+"
Jagged Alliance 3,"Strategy,Tactical,Turn-Based Tactics,RPG,Turn-Based Strategy,Turn-Based Combat,Tactical RPG,Singleplayer,Strategy RPG,Co-op Campaign,Action,Loot,3D,Isometric,Classic,Turn-Based,+"
Warspear Online,"Free to Play,MMORPG,Pixel Graphics,Massively Multiplayer,RPG,Multiplayer,Online Co-Op,Difficult,Retro,Fantasy,Atmospheric,PvP,2D,Adventure,Story Rich,Open World,+"
Insurgency: Sandstorm,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter,+"
NARAKA: BLADEPOINT,"Battle Royale,Multiplayer,Martial Arts,PvP,Female Protagonist,Action,Third Person,Survival,Character Customization,Hack and Slash,Massively Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free to Play,+"
A Plague Tale: Requiem,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration,+"
Phasmophobia,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Mystery,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian,+"
RimWorld,"Colony Sim,Base Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,City Builder,Moddable,Open World,Procedural Generation,2D,Sci-fi,Indie,Space,Tactical RPG,Western,Cartoony,+"
Punch Club 2: Fast Forward,"Time Management,Martial Arts,Resource Management,Adventure,Cyberpunk,Management,Sports,Pixel Graphics,Tactical RPG,Strategy RPG,Turn-Based Tactics,Nostalgia,RPG,1980s,1990's,Life Sim,Funny,Arcade,Combat,Retro,+"
Crusader Kings III,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Character Customization,Life Sim,4X,Singleplayer,Sandbox,Choices Matter,War,Economy,Moddable,Political,Multiplayer,Real-Time with Pause,+"
A Plague Tale: Innocence,"Story Rich,Adventure,Stealth,Female Protagonist,Medieval,Atmospheric,Singleplayer,Action,Third Person,Dark,Horror,Historical,Great Soundtrack,Violent,Emotional,Survival,Puzzle,Dark Fantasy,Post-apocalyptic,Walking Simulator,+"
Contraband Police,"Open World,Action,First-Person,Multiple Endings,1980s,Realistic,Automobile Sim,Simulation,Singleplayer,Story Rich,FPS,Survival,Action-Adventure,Management,Immersive Sim,Detective,Physics,Destruction,Atmospheric,Indie,+"
PC Building Simulator,"Simulation,Education,Immersive Sim,Building,Management,Sandbox,First-Person,3D,Life Sim,Realistic,Casual,Relaxing,Singleplayer,Funny,Hardware,Puzzle,Modern,Inventory Management,Atmospheric,Indie,+"
